llm,harness,cost_basis,workflow,condition,runs_attempted,runs_completed,completed_runs_with_cost,total_known_cost_usd,mean_cost_per_completed_run_usd,median_cost_per_completed_run_usd,input_tokens,output_tokens,cached_input_tokens,gpu_kwh,reported_missing_token_calls,unaccounted_infrastructure_attempts
Inferact/Qwen3.8-27B-NVFP4,Biomni,GPU electricity,Biomni,expected-unmasked,10,9,9,3.209845225,0.34496072962962965,0.400253575,121517009,1031520,0,21.398968166666666,0,0
Inferact/Qwen3.8-27B-NVFP4,Biomni,GPU electricity,Biomni,expected-masked,10,8,8,2.4767825083333332,0.29768419583333333,0.2857712166666666,92691427,956981,0,16.51188338888889,0,0
Inferact/Qwen3.8-27B-NVFP4,Biomni,GPU electricity,Biomni,surprising-unmasked,10,9,9,2.8714280333333333,0.25803145648148146,0.2786599833333333,108678128,926849,0,19.142853555555554,0,0
Inferact/Qwen3.8-27B-NVFP4,Biomni,GPU electricity,Biomni,surprising-masked,10,8,8,2.1283811666666668,0.20329291875,0.18822851249999997,79459120,851419,0,14.189207777777778,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,persistent,expected-unmasked,10,10,10,1.6285910583333332,0.16285910583333332,0.16101562083333332,51747069,2009486,0,10.857273722222223,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,persistent,expected-masked,10,10,10,1.6937762916666665,0.16937762916666665,0.16874944583333332,52285205,2319877,0,11.291841944444444,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,persistent,surprising-unmasked,10,10,10,1.6224817,0.16224817,0.15844845416666664,53914588,1647702,0,10.816544666666667,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,persistent,surprising-masked,10,8,8,1.7436450083333332,0.17255143125,0.17044405,55336627,2161376,0,11.624300055555556,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,sequential,expected-unmasked,10,10,10,0.9134741416666666,0.09134741416666667,0.08859379583333334,19538999,2549995,0,6.089827611111112,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,sequential,expected-masked,10,10,10,1.099717075,0.10997170749999999,0.10623147083333331,23041763,3142038,0,7.331447166666667,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,sequential,surprising-unmasked,10,10,10,0.9229280083333333,0.09229280083333333,0.09027590833333332,19768127,2572349,0,6.152853388888889,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,sequential,surprising-masked,10,10,10,1.0478867583333333,0.10478867583333333,0.102364875,21944177,2995694,0,6.985911722222222,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,deliberative,expected-unmasked,10,10,10,2.9477812083333332,0.2947781208333333,0.29143356666666664,65198435,7906922,0,19.65187472222222,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,deliberative,expected-masked,10,10,10,3.548687391666667,0.35486873916666667,0.35995025833333333,77505349,9666322,0,23.657915944444447,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,deliberative,surprising-unmasked,10,10,10,2.9428501249999997,0.29428501249999994,0.29391863749999997,64495805,7982730,0,19.61900083333333,0,0
Inferact/Qwen3.8-27B-NVFP4,Custom runner,GPU electricity,deliberative,surprising-masked,10,10,10,3.3046402833333333,0.3304640283333333,0.3361045208333333,70049498,9320417,0,22.030935222222222,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,persistent,expected-unmasked,10,10,10,1.736816,0.1736816,0.17387016249999998,56870000,1890396,0,11.578773333333334,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,persistent,expected-masked,10,10,10,1.7436555583333333,0.17436555583333332,0.17614634166666665,57193329,1882934,0,11.624370388888888,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,persistent,surprising-unmasked,10,8,8,1.8624768166666668,0.188692490625,0.19426274166666668,59654466,2226691,0,12.41651211111111,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,persistent,surprising-masked,10,9,9,1.6945488583333332,0.16828763055555554,0.166699925,55927181,1778216,0,11.296992388888889,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,sequential,expected-unmasked,10,10,10,1.1310495,0.11310495,0.11142418333333334,25216700,3003792,0,7.54033,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,sequential,expected-masked,10,10,10,1.12636465,0.112636465,0.10965336250000002,24679366,3056283,0,7.509097666666667,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,sequential,surprising-unmasked,10,10,10,1.2334435416666667,0.12334435416666667,0.12575817916666668,27540295,3269617,0,8.222956944444444,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,sequential,surprising-masked,10,10,10,1.1080481083333333,0.11080481083333332,0.1101795125,23938471,3057518,0,7.386987388888889,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,deliberative,expected-unmasked,10,9,9,3.2503386416666666,0.31875995925925926,0.29676090000000005,78382279,7744690,0,21.668924277777776,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,deliberative,expected-masked,10,7,7,3.6110167666666664,0.33075233095238094,0.3444166583333333,86317264,8718511,0,24.07344511111111,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,deliberative,surprising-unmasked,10,9,9,3.7324790666666665,0.3627889648148148,0.3687028583333333,90779676,8777923,0,24.883193777777777,0,0
RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,GPU electricity,deliberative,surprising-masked,10,8,8,3.6210332249999997,0.3633131270833333,0.34453021666666667,88071409,8515488,0,24.1402215,0,0
