metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Precision (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,sequential,medium,40,40,0,310695.5,99.0909090909091,97.27272727272727,100.0,100.0,100.0,100.0,97.88770053475936,94.25133689839572,100.0,97.36842105263158,92.10526315789473,100.0
Precision (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,deliberative,medium,40,33,7,810756,99.41176470588235,98.23529411764706,100.0,97.89473684210526,93.68421052631578,100.0,96.28070175438596,90.94736842105263,100.0,100.0,100.0,100.0
Recall (%),gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,68.33333333333333,66.66666666666666,71.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,68.33333333333333,66.66666666666666,71.66666666666666
Recall (%),gpt-6-astra,Codex,sequential,medium,40,39,1,80126,63.33333333333332,56.66666666666665,66.66666666666666,73.33333333333333,68.33333333333333,78.33333333333334,69.99999999999999,66.66666666666666,76.66666666666666,68.33333333333333,66.66666666666666,71.66666666666666
Recall (%),gpt-6-astra,Codex,deliberative,medium,40,40,0,255276.0,68.33333333333333,66.66666666666666,71.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,63.33333333333332,56.66666666666665,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,61.66666666666666,51.66666666666665,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-sol,Codex,sequential,medium,40,40,0,176867.5,54.444444444444436,41.11111111111111,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,58.33333333333333,46.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-sol,Codex,deliberative,medium,40,38,2,547345.5,48.888888888888886,34.444444444444436,63.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,38.33333333333333,23.333333333333332,53.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,51.11111111111111,37.77777777777777,63.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,59.99999999999999,51.666666666666664,64.99999999999999,61.66666666666666,53.33333333333333,66.66666666666666
Recall (%),gpt-5.6-terra,Codex,sequential,medium,40,39,1,58512,52.222222222222214,41.1111111111111,63.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,54.99999999999999,44.999999999999986,64.99999999999999,64.99999999999999,61.66666666666665,66.66666666666666
Recall (%),gpt-5.6-terra,Codex,deliberative,medium,40,39,1,160931,54.444444444444436,42.222222222222214,66.66666666666666,64.44444444444443,59.999999999999986,66.66666666666666,35.0,23.33333333333333,46.666666666666664,66.66666666666666,66.66666666666666,66.66666666666666
Recall (%),gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,13.333333333333332,4.444444444444445,22.22222222222222,37.77777777777777,23.333333333333332,52.222222222222214,21.666666666666664,11.666666666666664,31.666666666666664,41.666666666666664,30.0,53.33333333333333
Recall (%),gpt-5.6-luna,Codex,sequential,medium,40,39,1,79146,4.444444444444445,0.0,8.88888888888889,51.11111111111111,41.1111111111111,59.999999999999986,6.666666666666666,0.0,13.333333333333332,36.666666666666664,23.33333333333333,49.99999999999999
Recall (%),gpt-5.6-luna,Codex,deliberative,medium,40,38,2,237172.5,4.444444444444445,0.0,10.0,41.11111111111111,27.77777777777777,54.444444444444436,9.999999999999998,4.999999999999999,14.999999999999996,39.99999999999999,26.666666666666664,53.33333333333333
Recall (%),claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
