metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Evidence responsiveness B,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,63.33333333333333,,,59.055555555555564,52.77777777777778,64.44444444444444,60.44444444444444,54.22222222222223,65.55555555555556,57.388888888888886,49.44444444444444,64.16666666666666
Evidence responsiveness B,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,60.0,52.5,65.83333333333333,62.27777777777778,59.83333333333333,64.72222222222223,65.0,61.66666666666667,66.66666666666666,63.77777777777778,61.111111111111114,66.11111111111111
Focal recovery (%),gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,100,72.24672001371108,100,100,72.24672001371108,100,100,72.24672001371108,100,100,72.24672001371108,100
Focal recovery (%),gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,100,72.24672001371108,100,100,72.24672001371108,100,90,59.58499732047616,98.2123786904927,100,72.24672001371108,100
Focal recovery (%),gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,90,59.58499732047616,98.2123786904927,100,72.24672001371108,100,70,39.677814746114535,89.2208732593699,90,59.58499732047616,98.2123786904927
Focal recovery (%),gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,40,16.81803297062362,68.73262302663417,70,39.677814746114535,89.2208732593699,10,1.7876213095072897,40.41500267952384,50,23.659309051256404,76.3406909487436
Focal recovery (%),claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,100,56.551753521682535,100,100,56.551753521682535,100,100,56.551753521682535,100,100,56.551753521682535,100
Focal recovery (%),Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,100,72.24672001371108,100,100,72.24672001371108,100,90,59.58499732047616,98.2123786904927,100,72.24672001371108,100
Focal recovery (%),Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,100,72.24672001371108,100,80,49.01624715366418,94.33178485456247,80,49.01624715366418,94.33178485456247,100,72.24672001371108,100
Focal recovery (%),RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,100,72.24672001371108,100,100,72.24672001371108,100,50,23.659309051256404,76.3406909487436,100,72.24672001371108,100
Weighted condition score C,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,86.26212747999506,85.60362159935679,87.23720566519982,83.882245328099,82.58679638078877,84.89742544587858,82.75457753588863,81.26101671661638,84.1808395540129,84.55635404676649,83.38042791559849,85.86748263937075
Weighted condition score C,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,82.08079560548762,79.31290435096827,84.49016863579408,83.49042061520666,82.11865681762504,84.74410771712323,75.89147984348502,65.96756064980634,81.76755599211018,82.44063071173919,80.36901882692658,84.12260565707301
Weighted condition score C,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,74.21425252357308,62.89252459817456,81.72283409462034,83.00018130032505,78.93283836308918,85.49322145589078,73.01028668854448,64.11864622661055,80.98873205367303,80.02841250341251,72.6250707070707,85.18625143325143
Weighted condition score C,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,35.84104811855732,21.28671299060583,51.11559084064689,59.82788405462016,45.050969381276445,73.0980246846778,39.23940175257653,29.532555508736092,49.94052524997586,55.92296099661814,41.042137534735275,69.93492045520648
Weighted condition score C,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,82.37737785546796,78.8284398482367,85.5630628817158,79.53429411156404,77.74969392572741,82.42456588735558,78.89229565609175,78.15635920216009,79.52996094515296,78.48107249074629,75.2213388063481,81.19212842637107
Weighted condition score C,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,77.34736331569664,73.60526455026455,79.42031746031746,78.70276502543037,77.67275164765444,79.42905569007264,69.65922077922077,55.557887445887445,78.3,79.1274532264223,78.243470790378,79.66666666666666
Weighted condition score C,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,76.51777777777778,,,68.75366105127497,56.26359753290987,78.09555555555556,70.57222222222222,58.718888888888884,79.00444444444445,73.4033918128655,68.50323391812866,77.66197660818712
Weighted condition score C,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,68.59367965367966,66.11596284271283,71.44303968253969,77.60888888888888,76.01777777777778,78.66,59.595128821843204,48.03516481687355,71.21063368655372,78.46444444444444,77.96666666666667,78.92666666666668
